0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
2792 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update: solr.UpdateRequestHandler
2793 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/: org.apache.solr.handler.admin.AdminHandlers
2795 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/ping: solr.PingRequestHandler
2810 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
2813 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
2813 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
2814 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
2816 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
2841 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – Hard AutoCommit: disabled
2841 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – Soft AutoCommit: disabled
2903 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=/home/rails/RubymineProjects/spotlight/jetty/solr/blacklight-core/data/index,segFN=segments_c,generation=12}
2903 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 12
2977 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@78a38bac[blacklight-core] main
2983 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – File-based storage initialized to use dir: /home/rails/RubymineProjects/spotlight/jetty/solr/blacklight-core/conf
2984 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing RestManager with initArgs: {storageDir=/home/rails/RubymineProjects/spotlight/jetty/solr/blacklight-core/conf}
2994 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Reading _rest_managed.json using file:dir=/home/rails/RubymineProjects/spotlight/jetty/solr/blacklight-core/conf
3000 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/rails/RubymineProjects/spotlight/jetty/solr/blacklight-core/conf
3000 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResource  – Loaded initArgs {} for /rest/managed
3000 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing 0 registered ManagedResources
3012 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Registered new searcher Searcher@78a38bac[blacklight-core] main{StandardDirectoryReader(segments_c:47:nrt _8(4.10.3):C2/1:delGen=1 _9(4.10.3):C2/1:delGen=1 _b(4.10.3):C2/1:delGen=1 _c(4.10.3):C1 _d(4.10.3):C1)}
3014 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CoreContainer  – registering core: blacklight-core
3016 [recoveryExecutor-7-thread-1] WARN  org.apache.solr.update.UpdateLog  – Starting log replay tlog{file=/home/rails/RubymineProjects/spotlight/jetty/solr/blacklight-core/data/tlog/tlog.0000000000000000012 refcount=2} active=false starting pos=0
3019 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – user.dir=/home/rails/RubymineProjects/spotlight/jetty
3020 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init() done
3060 [main] INFO  org.eclipse.jetty.server.AbstractConnector  – Started SocketConnector@0.0.0.0:8983
3220 [recoveryExecutor-7-thread-1] INFO  org.apache.solr.update.UpdateHandler  – start commit{flags=2,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
3296 [recoveryExecutor-7-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=2
	commit{dir=/home/rails/RubymineProjects/spotlight/jetty/solr/blacklight-core/data/index,segFN=segments_c,generation=12}
	commit{dir=/home/rails/RubymineProjects/spotlight/jetty/solr/blacklight-core/data/index,segFN=segments_d,generation=13}
3297 [recoveryExecutor-7-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 13
3309 [recoveryExecutor-7-thread-1] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@5fc2a9d[blacklight-core] main
3310 [recoveryExecutor-7-thread-1] INFO  org.apache.solr.update.UpdateHandler  – end_commit_flush
3311 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Registered new searcher Searcher@5fc2a9d[blacklight-core] main{StandardDirectoryReader(segments_c:51:nrt _b(4.10.3):C2/1:delGen=1 _c(4.10.3):C1 _d(4.10.3):C1 _j(4.10.3):C6/2:delGen=1)}
3315 [recoveryExecutor-7-thread-1] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] {add=[3-6 (1499793171118292992), 3-7 (1499793171223150592), 1-2 (1499796331261067264), 1-2 (1499796342874046464), 1-1 (1499796343457054720), 1-1 (1499796448696336384)]} 0 299
3315 [recoveryExecutor-7-thread-1] WARN  org.apache.solr.update.UpdateLog  – Log replay finished. recoveryInfo=RecoveryInfo{adds=6 deletes=0 deleteByQuery=0 errors=0 positionOfStart=0}
9696 [qtp1940811570-11] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={sort=score+desc&fl=*&qt=search&wt=ruby&fq=spotlight_exhibit_slug_default-exhibit_bsi:true&rows=10} hits=2 status=0 QTime=52 
9931 [qtp1940811570-14] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={spellcheck=false&sort=score+desc&fl=*&q={!lucene}id:(1-2)&qt=search&wt=ruby&fq=spotlight_exhibit_slug_default-exhibit_bsi:true&rows=10} hits=1 status=0 QTime=2 
9962 [qtp1940811570-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={spellcheck=false&sort=score+desc&fl=*&q={!lucene}id:(1-1)&qt=search&wt=ruby&fq=spotlight_exhibit_slug_default-exhibit_bsi:true&rows=10} hits=1 status=0 QTime=1 
9981 [qtp1940811570-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={spellcheck=false&sort=score+desc&fl=*&q={!lucene}id:(1-1+OR+1-2)&qt=search&wt=ruby&fq=spotlight_exhibit_slug_default-exhibit_bsi:true&rows=10} hits=2 status=0 QTime=6 
460645 [qtp1940811570-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={sort=score+desc&fl=*&qt=search&wt=ruby&fq=spotlight_exhibit_slug_random-letters_bsi:true&rows=10} hits=3 status=0 QTime=2 
466391 [qtp1940811570-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={sort=score+desc&fl=*&qt=search&wt=ruby&fq=spotlight_exhibit_slug_import-test_bsi:true&rows=10} hits=2 status=0 QTime=1 
466451 [qtp1940811570-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={spellcheck=false&sort=score+desc&fl=*&q={!lucene}id:(1-2)&qt=search&wt=ruby&fq=spotlight_exhibit_slug_import-test_bsi:true&rows=10} hits=0 status=0 QTime=3 
466459 [qtp1940811570-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={spellcheck=false&sort=score+desc&fl=*&q={!lucene}id:(1-1)&qt=search&wt=ruby&fq=spotlight_exhibit_slug_import-test_bsi:true&rows=10} hits=0 status=0 QTime=2 
